PosX,PosY,PosZ,H(0.0-1.0),S(0.0-1.0),L(0.0-1.0),R(0-255),G(0-255),B(0-255)
-0.7417889,0.007843137,-0.6705875,0.1330166,1,0.5039216,255,204,1
-0.2263424,-0.1058823,-0.5198312,0.06535846,0.5701755,0.4470588,179,99,48
-0.2649908,-0.4627451,-0.6953538,0.05794786,0.8394161,0.2686275,126,51,10
0.004890438,0.1803923,0.02301718,0.53332,0.02392345,0.5901961,148,152,153
0.06650852,0.5607843,0.1152519,0.5833,0.1607143,0.7803922,190,199,208
-0.6488112,-0.0745098,-0.7461291,0.1139145,0.9915254,0.4627451,235,161,1
-0.0981076,0.3686275,0.003021431,0.2549,0.1055901,0.6843138,174,183,166
-0.263221,0.3960785,-0.3688575,0.0986447,0.4935065,0.6980392,216,184,140
-0.03478602,0.9098039,-0.04147987,0.1110667,0.1304348,0.9549019,245,244,241
0.05543451,0.3294117,0.1018432,0.5793333,0.122807,0.6647059,158,170,180
0.01988167,0.09803927,0.01669453,0.6388333,0.02608696,0.5490196,137,138,143
0.0606262,0.482353,0.1328132,0.5681545,0.1666667,0.7411765,178,191,200
0.01767777,0.4352942,0.01768889,0.62495,0.02777778,0.7176471,181,182,185
-0.2126838,-0.6078432,-0.6656166,0.04922275,0.88,0.1960784,93,32,6
-0.3473834,-0.4784313,-0.144762,0.1871597,0.4285714,0.2607843,87,95,38
-0.7181653,0.2117647,-0.648445,0.1331126,0.9900498,0.6058823,254,214,54
-0.632617,-0.1215686,-0.7182622,0.1149231,0.9642857,0.4392157,220,152,3
-0.05091647,0.9568627,-0.06071429,0.1110667,0.2727273,0.9784313,251,250,247
0.05032803,0.6352942,-0.02908502,0.8334,0.07526882,0.8176471,212,205,212
0.01502735,0.5960784,0.01791907,0.6110666,0.02912621,0.7980392,201,202,205
-0.6094128,-0.07058823,-0.7358241,0.1100881,0.9578059,0.4647059,232,154,4
-0.06640556,-0.2313725,0.02047469,0.2976,0.07142857,0.3843137,94,105,91
-0.03109778,0.1137255,-0.06308916,0.07288752,0.07079646,0.5568628,150,141,134
0.07659652,0.3921568,-0.009247912,0.7691231,0.08387098,0.6960784,179,170,184
-0.2063383,-0.5529411,-0.1632721,0.1434611,0.3157895,0.2235294,75,70,39
0.4109249,0.772549,0.4840545,0.6120241,1,0.8862745,197,216,255
-0.3909308,0.05490196,-0.7164821,0.07949445,0.8174274,0.527451,233,130,35
-0.4678432,-0.4352941,-0.209636,0.1829537,0.5694444,0.282353,105,113,31
-0.4217408,-0.3215686,-0.4523939,0.1194212,0.6531792,0.3392157,143,110,29
